epoch,step,train_loss,val_loss
0,49,1.7343310117721558,
0,99,1.7407407760620117,
0,124,,1.6014519929885864
1,149,1.50350821018219,
1,199,1.6274577379226685,
1,249,1.4071900844573975,
1,249,,1.4160451889038086
2,299,1.2560033798217773,
2,349,1.443785548210144,
2,374,,1.3337132930755615
3,399,1.012115240097046,
3,449,1.1009260416030884,
3,499,1.212059497833252,
3,499,,1.2622581720352173
4,549,1.0306469202041626,
4,599,1.1861644983291626,
4,624,,1.2529270648956299
5,649,1.000939130783081,
5,699,0.9689911603927612,
5,749,1.0474544763565063,
5,749,,1.1950546503067017
6,799,0.6727076172828674,
6,849,0.9347134828567505,
6,874,,1.2194393873214722
7,899,0.9455316662788391,
7,949,0.8538393378257751,
7,999,0.9359692931175232,
7,999,,1.2578749656677246
8,1049,1.020577073097229,
8,1099,0.7350598573684692,
8,1124,,1.2515066862106323
9,1149,0.6774336099624634,
9,1199,0.634610116481781,
9,1249,0.627569854259491,
9,1249,,1.2600748538970947
